合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta
IC2108                        ,6981.8,6998.6,6921,55917,7782921.552,87385,2901.0,6947,6942.6,6974.2,-27.2,-31.6,--
IC2109                        ,6935,6945.8,6871,17988,2485094.844,96890,-346.0,6896.6,6890.4,6923.4,-26.8,-33.0,--
IC2112                        ,6784.2,6792,6723,9906,1337983.284,66170,1480.0,6752,6739.2,6773.2,-21.2,-34.0,--
IC2203                        ,6639.6,6645.8,6580,3011,398248.328,7811,823.0,6609,6597.4,6630.4,-21.4,-33.0,--
小计,,,,86822,12004248.008,258256.0,4858.0,,,,,,
IF2108                        ,5118,5125.8,5061.2,79982,12197176.182,89896,5476.0,5073.2,5071.8,5126.4,-53.2,-54.6,--
IF2109                        ,5100,5106,5044,22843,3471229.542,88480,246.0,5056.2,5053.8,5107.2,-51.0,-53.4,--
IF2112                        ,5058.2,5058.2,5000,5020,755937.324,24411,355.0,5010,5007.4,5060.8,-50.8,-53.4,--
IF2203                        ,5020.2,5021.8,4962.8,923,137994.96,1737,346.0,4977.8,4972.8,5023.6,-45.8,-50.8,--
小计,,,,108768,16562338.008,204524.0,6423.0,,,,,,
IH2108                        ,3394,3394,3346.6,39855,4021353.318,46604,4069.0,3349,3352.4,3388.8,-39.8,-36.4,--
IH2109                        ,3380.2,3386,3341.4,11981,1207087.998,34932,1731.0,3345,3347,3383.6,-38.6,-36.6,--
IH2112                        ,3365,3367.8,3322.4,2866,287042.904,13150,-75.0,3327.6,3327.2,3366,-38.4,-38.8,--
IH2203                        ,3349.6,3354.4,3311,376,37590.66,619,148.0,3319.4,3315.4,3353,-33.6,-37.6,--
小计,,,,55078,5553074.880,95305.0,5873.0,,,,,,
IO2108-C-4550                 ,550,552.2,550,2,11.022,26,2.0,552.2,523,578.2,-26.0,-55.2,0.9790
IO2108-C-4600                 ,502.4,506.8,486,30,149.176,56,10.0,486,473.8,530.2,-44.2,-56.4,0.9700
IO2108-C-4650                 ,455.2,455.2,430,28,125.862,69,-7.0,431.2,430.2,481.6,-50.4,-51.4,0.9310
IO2108-C-4700                 ,401,412.8,372,53,208.742,129,-9.0,384.2,383.8,434,-49.8,-50.2,0.9090
IO2108-C-4750                 ,353.4,363.8,333.8,47,168.638,65,-8.0,338,338,388.4,-50.4,-50.4,0.8820
IO2108-C-4800                 ,340,340,282,218,659.544,428,57.0,292.4,292,342.2,-49.8,-50.2,0.8540
IO2108-C-4850                 ,290,290.2,239,559,1450.168,855,186.0,247,247,296,-49.0,-49.0,0.8180
IO2108-C-4900                 ,248.8,248.8,198,938,2035.664,1900,70.0,206,206,254,-48.0,-48.0,0.7660
