bucket,start_day,end_day,count,percentage
1-10,1,10,21,2.2629
11-20,11,20,51,5.4957
21-30,21,30,103,11.0991
31-40,31,40,105,11.3147
41-50,41,50,84,9.0517
51-60,51,60,68,7.3276
61-70,61,70,39,4.2026
71-80,71,80,49,5.2802
81-90,81,90,57,6.1422
91-100,91,100,39,4.2026
101-110,101,110,25,2.6940
111-120,111,120,37,3.9871
121-130,121,130,41,4.4181
131-140,131,140,24,2.5862
141-150,141,150,33,3.5560
151-160,151,160,10,1.0776
161-170,161,170,12,1.2931
171-180,171,180,9,0.9698
181-190,181,190,5,0.5388
191-200,191,200,6,0.6466
201-210,201,210,1,0.1078
211-220,211,220,5,0.5388
221-230,221,230,4,0.4310
231-240,231,240,1,0.1078
241-250,241,250,2,0.2155
251-260,251,260,7,0.7543
261-270,261,270,9,0.9698
271-280,271,280,8,0.8621
281-290,281,290,11,1.1853
291-300,291,300,3,0.3233
301-310,301,310,1,0.1078
311-320,311,320,0,0.0000
321-330,321,330,2,0.2155
331-340,331,340,0,0.0000
341-350,341,350,1,0.1078
351-360,351,360,4,0.4310
361-370,361,370,5,0.5388
371-380,371,380,0,0.0000
381-390,381,390,0,0.0000
391-400,391,400,4,0.4310
no_breach_yet,,,42,4.5259
