合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,隐含波动率(%),Delta
IC1608                        ,6298.6,6338,6252.2,11932,1501266.208,19523,1009.0,6266,6291.6,6321,-55.0,-29.4,--,--
IC1609                        ,6226.2,6228,6150.4,1038,128457.056,5751,123.0,6165,6187.4,6229.2,-64.2,-41.8,--,--
IC1612                        ,5960.4,5972,5910,588,69890.452,4156,-32.0,5916.6,5936.2,5985.6,-69.0,-49.4,--,--
IC1703                        ,5730,5838.6,5730,211,24311.268,209,209.0,5740,5757.8,5985.6,-245.6,-227.8,--,--
小计,,,,13769,1723924.984,29639.0,1309.0,,,,,,
IF1608                        ,3243.2,3246.8,3218.2,10930,1060131.09,29814,1532.0,3224.2,3229.8,3243.2,-19.0,-13.4,--,--
IF1609                        ,3213,3217,3190.6,885,85059.312,8516,126.0,3192.8,3199.2,3213.6,-20.8,-14.4,--,--
IF1612                        ,3133,3145.4,3115.2,334,31379.412,2412,19.0,3115.6,3124.2,3142.2,-26.6,-18.0,--,--
IF1703                        ,3057.8,3100.4,3057.8,167,15440.982,166,166.0,3063,3069.6,3142.2,-79.2,-72.6,--,--
小计,,,,12316,1192010.796,40908.0,1843.0,,,,,,
IH1608                        ,2186.6,2197.8,2175.2,3733,244707.246,9970,509.0,2177.4,2179.4,2186.2,-8.8,-6.8,--,--
IH1609                        ,2177.2,2190.4,2165.8,300,19574.862,4168,50.0,2167.4,2170.2,2177.8,-10.4,-7.6,--,--
IH1612                        ,2153.4,2163,2138.2,115,7411.692,1308,32.0,2138.2,2143.8,2150.2,-12.0,-6.4,--,--
IH1703                        ,2125,2144.6,2121.2,51,3259.638,51,51.0,2123.2,2123.8,2150.2,-27.0,-26.4,--,--
小计,,,,4199,274953.438,15497.0,642.0,,,,,,
T1609                         ,100.525,100.67,100.445,11497,1155995.565,27908,-322.0,100.545,100.48,100.55,-0.005,-0.07,--,--
T1612                         ,99.9,99.95,99.8,1846,184383.56,12313,327.0,99.89,99.83,99.86,0.03,-0.03,--,--
T1703                         ,99.485,99.52,99.39,115,11439.695,1671,56.0,99.46,99.415,99.46,0.00,-0.045,--,--
小计,,,,13458,1351818.820,41892.0,61.0,,,,,,
TF1609                        ,101.15,101.22,101.06,5332,539229.27,21580,-287.0,101.115,101.08,101.145,-0.030,-0.065,--,--
TF1612                        ,100.665,100.74,100.595,859,86474.4,7490,420.0,100.66,100.62,100.675,-0.015,-0.055,--,--
TF1703                        ,100.44,100.445,100.315,53,5319.315,1182,14.0,100.335,100.33,100.37,-0.035,-0.04,--,--
小计,,,,6244,631022.985,30252.0,147.0,,,,,,
合计,,,,49986,5173731.023,158188.0,4002.0,,,,,,
