合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,隐含波动率(%),Delta
IC1801                        ,6163,6234.6,6132.2,9924,1227417.252,19747,251.0,6219.4,6213.6,6156.2,63.2,57.4,--,--
IC1802                        ,6127.8,6197.4,6112.8,143,17584.436,398,25.0,6180.8,6177.2,6123.8,57.0,53.4,--,--
IC1803                        ,6115,6174.4,6078.6,762,93361.352,6861,41.0,6158.8,6154.6,6103.8,55.0,50.8,--,--
IC1806                        ,6032.2,6109.8,6017.4,148,17933.284,1952,35.0,6090.6,6086.2,6034.2,56.4,52.0,--,--
小计,,,,10977,1356296.324,28958.0,352.0,,,,,,
IF1801                        ,4052.4,4079.2,4032.8,15143,1843086.27,26402,431.0,4068.8,4067.4,4047,21.8,20.4,--,--
IF1802                        ,4055.8,4079,4039,160,19477.344,266,37.0,4073.6,4070,4047.8,25.8,22.2,--,--
IF1803                        ,4054,4084,4037.4,1336,162817.998,10389,96.0,4075,4073.4,4052,23.0,21.4,--,--
IF1806                        ,4064.2,4086,4040.4,303,36968.496,3011,10.0,4081.2,4076.2,4055.4,25.8,20.8,--,--
小计,,,,16942,2062350.108,40068.0,574.0,,,,,,
IH1801                        ,2891.8,2914.4,2882.6,10013,870774.696,15312,-151.0,2909,2905.6,2888,21.0,17.6,--,--
IH1802                        ,2905.2,2920.2,2892.6,158,13784.508,254,61.0,2916.6,2913.4,2898.4,18.2,15.0,--,--
IH1803                        ,2912.8,2937.6,2905.2,961,84274.35,4739,40.0,2934.8,2930,2913,21.8,17.0,--,--
IH1806                        ,2934,2953,2920.2,141,12420.6,1402,-40.0,2948.2,2945,2926.4,21.8,18.6,--,--
小计,,,,11273,981254.154,21707.0,-90.0,,,,,,
T1803                         ,93.095,93.135,92.915,29362,2731882.91,60142,462.0,92.94,92.99,93.09,-0.15,-0.10,--,--
T1806                         ,93.12,93.325,93.12,174,16224.875,1660,52.0,93.15,93.2,93.28,-0.13,-0.08,--,--
T1809                         ,,,,0,0,2,0.0,93.33,93.15,93.25,0.08,-0.10,--,--
小计,,,,29536,2748107.785,61804.0,514.0,,,,,,
TF1803                        ,96.57,96.59,96.45,8052,777283.97,45476,-172.0,96.47,96.51,96.56,-0.09,-0.05,--,--
TF1806                        ,96.86,96.86,96.81,28,2711.205,417,4.0,96.81,96.82,96.85,-0.04,-0.03,--,--
TF1809                        ,,,,0,0,10,0.0,97.14,97.2,97.25,-0.11,-0.05,--,--
小计,,,,8080,779995.175,45903.0,-168.0,,,,,,
合计,,,,76808,7928003.546,198440.0,1182.0,,,,,,
