合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta
IC2011                        ,6154,6267.8,6134.8,88208,10956296.984,93538,-4549.0,6231,6237.2,6212,19.0,25.2,--
IC2012                        ,6102.6,6208,6080,26766,3294273.368,80322,-2545.0,6171.8,6179.2,6153.2,18.6,26.0,--
IC2103                        ,5932.2,6039.8,5912,9297,1113257.332,42529,566.0,6003.2,6012.2,5983.4,19.8,28.8,--
IC2106                        ,5773.8,5868,5745.4,4388,510262.932,12516,1233.0,5837,5843,5812.2,24.8,30.8,--
小计,,,,128659,15874090.616,228905.0,-5295.0,,,,,,
IF2011                        ,4678.8,4791.8,4672,90383,12846429.096,80170,3189.0,4770.4,4778.2,4729,41.4,49.2,--
IF2012                        ,4661,4772.8,4654.4,29626,4195726.116,81459,2102.0,4751.2,4759.2,4708,43.2,51.2,--
IF2103                        ,4615,4718,4600.8,6575,920681.28,26336,714.0,4699,4705.6,4655,44.0,50.6,--
IF2106                        ,4537,4646.2,4531.4,1524,209965.254,3736,773.0,4633.4,4635.8,4584.8,48.6,51.0,--
小计,,,,128108,18172801.746,191701.0,6778.0,,,,,,
IH2011                        ,3274,3347.6,3271.2,33785,3350705.856,30207,277.0,3328.2,3335.4,3309.6,18.6,25.8,--
IH2012                        ,3268,3334.8,3260,12341,1219494.888,32607,1028.0,3316,3323.2,3297.6,18.4,25.6,--
IH2103                        ,3243.8,3306.2,3235,3729,365141.394,10376,1244.0,3290.2,3295.8,3270.4,19.8,25.4,--
IH2106                        ,3213,3277.2,3203.6,529,51371.052,880,-73.0,3259.2,3267.2,3239.4,19.8,27.8,--
小计,,,,50384,4986713.190,74070.0,2476.0,,,,,,
IO2011-C-4100                 ,607,661.4,607,6,38.05,72,3.0,658.2,678.2,628.4,29.8,49.8,0.9860
IO2011-C-4150                 ,,,,0,0,14,0.0,626,628.6,579.2,46.8,49.4,0.9830
IO2011-C-4200                 ,495.6,520,495.6,4,20.396,28,0.0,520,579.4,530.2,-10.2,49.2,0.9780
IO2011-C-4250                 ,514,514,514,3,15.42,35,0.0,514,530.2,481.2,32.8,49.0,0.9710
IO2011-C-4300                 ,393.6,490.2,393.6,26,115.632,75,-1.0,487,481.6,433.2,53.8,48.4,0.9610
IO2011-C-4350                 ,363.6,441.8,363.6,29,120.642,85,-13.0,441.2,427.8,386.2,55.0,41.6,0.9910
IO2011-C-4400                 ,303.2,403.4,303.2,40,143.548,205,-11.0,391.2,380.8,339.8,51.4,41.0,0.9610
IO2011-C-4450                 ,273.2,348,273.2,24,76.798,279,6.0,342,335.2,294.8,47.2,40.4,0.9270
IO2011-C-4500                 ,216,309.8,216,614,1630.558,423,-8.0,289.4,289.4,254,35.4,35.4,0.8940
IO2011-C-4550                 ,180.6,264.4,180.6,439,1002.514,413,-7.0,250,248.8,213.6,36.4,35.2,0.8370
IO2011-C-4600                 ,160.2,226.8,145,2810,5267.92,1397,-165.0,208,208,178,30.0,30.0,0.7820
IO2011-C-4650                 ,115.4,189,112,1424,2146.056,783,-133.0,172.2,172.2,143.4,28.8,28.8,0.7120
IO2011-C-4700                 ,96,155,90,8953,11058.414,3878,658.0,139.2,139.2,114.8,24.4,24.4,0.6370
IO2011-C-4750                 ,71.2,124,66.8,3200,3187.634,1864,52.0,110,110,90.2,19.8,19.8,0.5560
