metric,sample_count,mean,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max
atr,931,115.6719,64.7147,69.1703,74.4976,76.7432,84.1811,109.2515,140.6630,167.9182,183.7274,212.4349,227.3266
atr_pct,931,1.8224,0.9644,1.0317,1.1172,1.1774,1.3265,1.7550,2.0778,2.5471,2.9701,3.9355,4.2773
