合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,隐含波动率(%),Delta
IC1704                        ,6441,6477.4,6382,12578,1619981.512,24170,228.0,6450,6436.4,6424.2,25.8,12.2,--,--
IC1705                        ,6369.6,6404.2,6309,435,55450.888,661,211.0,6384.6,6369.6,6349.6,35.0,20.0,--,--
IC1706                        ,6307,6348,6254.4,1257,158699.936,10292,336.0,6320.2,6305.8,6292.2,28.0,13.6,--,--
IC1709                        ,6121.6,6161.8,6075,429,52569.9,4065,50.0,6136.4,6126,6108.8,27.6,17.2,--,--
小计,,,,14699,1886702.236,39188.0,825.0,,,,,,
IF1704                        ,3425.8,3450,3409,17346,1786365.228,35794,980.0,3433.8,3429.6,3420,13.8,9.6,--,--
IF1705                        ,3403,3428,3389.2,541,55393.332,1203,94.0,3414.4,3407.2,3399.8,14.6,7.4,--,--
IF1706                        ,3368.8,3398,3358,1714,173838.186,11266,326.0,3388.6,3381.6,3365,23.6,16.6,--,--
IF1709                        ,3302,3321.6,3285,687,68152.62,4026,-5.0,3313.6,3305.2,3288.8,24.8,16.4,--,--
小计,,,,20288,2083749.366,52289.0,1395.0,,,,,,
IH1704                        ,2335.4,2350.6,2330.2,7312,513588.426,23900,-573.0,2338.8,2337.2,2330.4,8.4,6.8,--,--
IH1705                        ,2326.6,2344.8,2324.2,388,27177.168,830,285.0,2332.6,2331.2,2325.2,7.4,6.0,--,--
IH1706                        ,2310.8,2331.2,2310.8,695,48378.708,7679,75.0,2318.8,2317.4,2308.8,10.0,8.6,--,--
IH1709                        ,2265,2284.2,2259,271,18493.182,2830,35.0,2273,2269.8,2263.2,9.8,6.6,--,--
小计,,,,8666,607637.484,35239.0,-178.0,,,,,,
T1706                         ,96.6,96.775,96.305,49448,4772295.195,58514,760.0,96.7,96.655,96.515,0.185,0.140,--,--
T1709                         ,95.565,95.8,95.335,1978,188899.745,8571,357.0,95.735,95.705,95.535,0.200,0.170,--,--
T1712                         ,94.605,94.95,94.515,86,8140.79,657,25.0,94.82,94.795,94.615,0.205,0.180,--,--
小计,,,,51512,4969335.730,67742.0,1142.0,,,,,,
TF1706                        ,98.88,99.045,98.735,9581,947049.89,14043,343.0,98.945,98.945,98.85,0.095,0.095,--,--
TF1709                        ,98.295,98.42,98.145,247,24270.36,1511,122.0,98.38,98.37,98.235,0.145,0.135,--,--
TF1712                        ,97.675,97.86,97.65,7,684.17,70,0.0,97.81,97.795,97.695,0.115,0.100,--,--
小计,,,,9835,972004.42,15624.0,465.0,,,,,,
合计,,,,105000,10519429.236,210082.0,3649.0,,,,,,
