合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,隐含波动率(%),Delta
IC1604                        ,6230,6266.4,6140.8,14188,1758377.484,15441,-2137.0,6239.8,6185.2,6250.6,-10.8,-65.4,--,--
IC1605                        ,6075.2,6085,5960.6,3431,412362.36,7382,1597.0,6036.8,5997.4,6069.6,-32.8,-72.2,--,--
IC1606                        ,5875.4,5899.6,5790,817,95344.972,4692,163.0,5854,5822,5887.6,-33.6,-65.6,--,--
IC1609                        ,5424.8,5452,5362,653,70543.388,3841,27.0,5430,5397.8,5440.4,-10.4,-42.6,--,--
小计,,,,19089,2336628.204,31356.0,-350.0,,,,,,
IF1604                        ,3210,3222,3190,17834,1714517.64,24317,-5263.0,3215.4,3201.6,3222.2,-6.8,-20.6,--,--
IF1605                        ,3170.4,3179,3145.2,5621,532891.392,10501,3395.0,3165,3157.2,3180.4,-15.4,-23.2,--,--
IF1606                        ,3140,3140,3100,1644,153521.472,8830,82.0,3116.2,3109.2,3134.4,-18.2,-25.2,--,--
IF1609                        ,2989.8,3003.6,2972.8,525,47023.704,4161,-19.0,2995.8,2982.4,3003.2,-7.4,-20.8,--,--
小计,,,,25624,2447954.208,47809.0,-1805.0,,,,,,
IH1604                        ,2149.4,2150.6,2135,5823,374275.206,9826,-1224.0,2143.8,2141,2149.4,-5.6,-8.4,--,--
IH1605                        ,2135,2135,2112.2,1890,120440.406,4825,1247.0,2125.4,2121.4,2130.2,-4.8,-8.8,--,--
IH1606                        ,2105.4,2109.4,2095.4,437,27561.714,3731,43.0,2103,2100.8,2107.8,-4.8,-7.0,--,--
IH1609                        ,2065,2065,2039.2,62,3808.338,1232,-12.0,2047.2,2046.6,2051.4,-4.2,-4.8,--,--
小计,,,,8212,526085.664,19614.0,54.0,,,,,,
T1606                         ,99.76,99.795,99.67,9424,939858.605,32931,-14.0,99.75,99.715,99.735,0.015,-0.020,--,--
T1609                         ,98.49,98.51,98.385,1707,168073.525,12342,337.0,98.48,98.47,98.505,-0.025,-0.035,--,--
T1612                         ,97.685,97.76,97.61,118,11529.475,1236,89.0,97.68,97.665,97.74,-0.06,-0.075,--,--
小计,,,,11249,1119461.605,46509.0,412.0,,,,,,
TF1606                        ,101.065,101.07,100.935,6903,697173.325,29251,-629.0,101,100.97,101.045,-0.045,-0.075,--,--
TF1609                        ,100.25,100.26,100.15,1986,199004.015,7883,1211.0,100.18,100.17,100.255,-0.075,-0.085,--,--
TF1612                        ,99.755,99.82,99.71,71,7084.515,1348,59.0,99.72,99.73,99.785,-0.065,-0.055,--,--
小计,,,,8960,903261.855,38482.0,641.0,,,,,,
合计,,,,73134,7333391.536,183770.0,-1048.0,,,,,,
