合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta
IC2004                        ,5180,5271,5175.2,87282,9113514.568,76197,-6272.0,5262,5253.2,5142.6,119.4,110.6,--
IC2005                        ,5110,5208.6,5110,14974,1546494.024,22055,6495.0,5200.6,5192.4,5083.2,117.4,109.2,--
IC2006                        ,5049,5148,5049,19468,1984147.288,55404,1596.0,5134.8,5127,5023.4,111.4,103.6,--
IC2009                        ,4933,5008,4919.2,9632,955534.028,37230,1262.0,5002,4992,4891.4,110.6,100.6,--
小计,,,,131356,13599689.908,190886.0,3081.0,,,,,,
IF2004                        ,3770.2,3812,3759,79296,9006365.76,71750,2141.0,3812,3801.4,3744.4,67.6,57.0,--
IF2005                        ,3745,3787,3739.6,13727,1549720.584,20311,7500.0,3787,3777.8,3724.2,62.8,53.6,--
IF2006                        ,3705.6,3742,3700,13409,1496777.76,41887,1460.0,3742,3733.6,3687.2,54.8,46.4,--
IF2009                        ,3658,3684.8,3645.2,3515,386338.482,18426,318.0,3683.4,3675.8,3634,49.4,41.8,--
小计,,,,109947,12439202.586,152374.0,11419.0,,,,,,
IH2004                        ,2749.4,2775,2739.8,26177,2164666.452,27719,-2272.0,2774.4,2768.2,2731.8,42.6,36.4,--
IH2005                        ,2725.4,2750,2719.8,5362,439615.836,7747,2583.0,2749.4,2740.8,2712.6,36.8,28.2,--
IH2006                        ,2690.2,2705.8,2681.2,7481,604152.342,18888,2053.0,2705.8,2699.2,2674.2,31.6,25.0,--
IH2009                        ,2634.8,2647.2,2625.6,3276,258916.848,11573,965.0,2646.2,2640.6,2623.4,22.8,17.2,--
小计,,,,42296,3467351.478,65927.0,3329.0,,,,,,
IO2004-C-3150                 ,624.8,624.8,624.8,1,6.248,18,1.0,624.8,651.4,594.4,30.4,57.0,0.9970
IO2004-C-3200                 ,,,,0,0,19,0.0,548.8,601.4,544.4,4.4,57.0,0.9970
IO2004-C-3250                 ,531.2,542.6,531.2,5,26.042,33,-3.0,542.6,551.4,494.4,48.2,57.0,0.9970
IO2004-C-3300                 ,486.2,486.2,486.2,1,4.862,68,0.0,486.2,501.4,444.4,41.8,57.0,0.9970
IO2004-C-3350                 ,431,438.8,431,2,8.698,65,-2.0,438.8,460,394.6,44.2,65.4,0.9390
IO2004-C-3400                 ,364.2,390.4,364.2,4,14.966,117,-4.0,390.4,401.4,344.6,45.8,56.8,0.9950
IO2004-C-3450                 ,313,347,313,7,23.738,151,0.0,347,351.6,295,52.0,56.6,0.9940
IO2004-C-3500                 ,261.8,302.8,261.8,46,128.05,197,-13.0,300,301.8,245.6,54.4,56.2,0.9900
IO2004-C-3550                 ,229,258,228,59,139.13,233,-42.0,258,252,195.6,62.4,56.4,0.9820
IO2004-C-3600                 ,164.4,210,163.8,290,541.584,406,-79.0,208.2,208.2,146,62.2,62.2,0.9080
IO2004-C-3650                 ,109.6,162.2,109.6,205,284.16,384,-54.0,162.2,162.2,102.2,60.0,60.0,0.8580
IO2004-C-3700                 ,72,114.4,71,1426,1304.462,961,-295.0,114.4,114.4,64.8,49.6,49.6,0.8070
IO2004-C-3750                 ,37,71,36.4,1389,722.214,685,-185.0,71,71,32.8,38.2,38.2,0.7000
IO2004-C-3800                 ,23,36.8,15.6,3097,820.54,1614,-355.0,35.8,35.8,16,19.8,19.8,0.5110
IO2004-C-3850                 ,9.8,16.6,6,1657,192.594,1274,53.0,15.8,15.8,6.8,9.0,9.0,0.2930
IO2004-C-3900                 ,4,6.4,2.6,1197,53.528,1440,-16.0,5.8,5.8,2.8,3.0,3.0,0.1340
IO2004-C-3950                 ,1.8,2.6,1,544,8.91,1082,-118.0,2.2,2.2,1.4,0.8,0.8,0.0570
IO2004-C-4000                 ,2,2,.4,634,4.632,2599,-382.0,.8,.8,.8,0.0,0.0,0.0230
IO2004-C-4050                 ,.6,.6,.2,39,0.178,1001,5.0,.6,.4,.4,0.2,0.0,0.0130
IO2004-C-4100                 ,.4,.6,.2,196,0.636,1422,-69.0,.4,.2,.2,0.2,0.0,0.0080
IO2004-C-4150                 ,.2,.4,.2,44,0.112,684,7.0,.2,.2,.2,0.0,0.0,0.0070
IO2004-C-4200                 ,.4,.4,.2,192,0.446,1804,-139.0,.2,.2,.2,0.0,0.0,0.0020
IO2004-C-4250                 ,.2,.4,.2,145,0.292,563,-7.0,.4,.2,.2,0.2,0.0,0.0010
IO2004-C-4300                 ,.2,.2,.2,118,0.236,780,-89.0,.2,.2,.2,0.0,0.0,0.0040
IO2004-C-4350                 ,.2,.2,.2,154,0.308,540,-99.0,.2,.2,.2,0.0,0.0,0.0040
IO2004-C-4400                 ,.2,.2,.2,20,0.04,805,-6.0,.2,.2,.2,0.0,0.0,0.0030
IO2004-C-4450                 ,.2,.2,.2,9,0.018,559,-3.0,.2,.2,.2,0.0,0.0,0.0030
IO2004-C-4500                 ,.2,.2,.2,11,0.022,773,-6.0,.2,.2,.2,0.0,0.0,0.0030
IO2004-C-4550                 ,.2,.2,.2,10,0.02,615,-2.0,.2,.2,.2,0.0,0.0,0.0030
IO2004-C-4600                 ,.2,.2,.2,20,0.04,806,-9.0,.2,.2,.2,0.0,0.0,0.0030
IO2004-C-4650                 ,.2,.2,.2,13,0.026,1430,-6.0,.2,.2,.2,0.0,0.0,0.0030
IO2004-P-3150                 ,.2,.2,.2,55,0.11,786,-41.0,.2,.2,.2,0.0,0.0,-0.0030
IO2004-P-3200                 ,.2,.2,.2,279,0.558,1210,-27.0,.2,.2,.2,0.0,0.0,-0.0030
IO2004-P-3250                 ,.2,.2,.2,136,0.272,403,-89.0,.2,.2,.2,0.0,0.0,-0.0030
IO2004-P-3300                 ,.4,.4,.2,207,0.428,1660,-38.0,.2,.2,.2,0.0,0.0,-0.0030
IO2004-P-3350                 ,.4,.4,.2,213,0.538,542,-65.0,.4,.4,.2,0.2,0.2,-0.0060
IO2004-P-3400                 ,.6,.6,.2,86,0.218,916,-67.0,.4,.4,.4,0.0,0.0,-0.0070
IO2004-P-3450                 ,.6,.6,.2,170,0.752,608,55.0,.4,.4,.4,0.0,0.0,-0.0080
IO2004-P-3500                 ,.6,.8,.4,296,1.734,1238,11.0,.6,.6,1,-0.4,-0.4,-0.0120
IO2004-P-3550                 ,.8,1.2,.6,335,2.838,708,-21.0,.8,.8,1.8,-1.0,-1.0,-0.0180
IO2004-P-3600                 ,2,2.6,1.2,1046,17.122,1413,-371.0,1.4,1.4,3.8,-2.4,-2.4,-0.0320
IO2004-P-3650                 ,5.2,5.2,2,550,18.85,684,-76.0,2,2,8.6,-6.6,-6.6,-0.0500
IO2004-P-3700                 ,16.2,16.2,4.8,2039,166.46,1357,57.0,5.2,5.2,20,-14.8,-14.8,-0.1190
IO2004-P-3750                 ,27.4,29,11.2,1988,391.916,870,42.0,11.2,11.2,40.8,-29.6,-29.6,-0.2450
IO2004-P-3800                 ,56.2,56.2,27.4,2338,940.39,872,285.0,28,28,73,-45.0,-45.0,-0.4880
IO2004-P-3850                 ,94.2,95.2,55,616,451.334,349,56.0,55,55,114,-59.0,-59.0,-0.7980
IO2004-P-3900                 ,137.4,139,97.4,106,128.548,331,-28.0,97.4,105.6,160.4,-63.0,-54.8,-0.8510
IO2004-P-3950                 ,185,185,145,58,95.28,132,-17.0,145,151,208.2,-63.2,-57.2,-0.9370
IO2004-P-4000                 ,235,237.4,193.6,29,63.356,325,-11.0,193.6,199.4,256.2,-62.6,-56.8,-0.9750
IO2004-P-4050                 ,285,285,249,35,95.782,104,-15.0,249,248.8,305.8,-56.8,-57.0,-0.9900
IO2004-P-4100                 ,337.2,337.2,300,37,124.386,191,-14.0,300,298.6,355.6,-55.6,-57.0,-0.9950
IO2004-P-4150                 ,374.6,375.8,360,14,52.062,132,-2.0,360.2,348.6,405.6,-45.4,-57.0,-0.9970
IO2004-P-4200                 ,434,434,415.8,19,81.958,179,-6.0,415.8,398.6,455.6,-39.8,-57.0,-0.9980
IO2004-P-4250                 ,470.2,470.2,470.2,1,4.702,130,0.0,470.2,448.4,505.4,-35.2,-57.0,-0.9980
IO2004-P-4300                 ,536.4,536.4,521.8,32,173.634,124,-16.0,521.8,498.4,555.4,-33.6,-57.0,-0.9990
IO2004-P-4350                 ,,,,0,0,100,0.0,606,548.4,605.4,0.6,-57.0,-0.9980
IO2004-P-4400                 ,,,,0,0,57,0.0,657.4,598.6,657,0.4,-58.4,-0.9980
IO2004-P-4450                 ,666.2,666.2,666.2,2,13.324,40,2.0,666.2,648.6,705.6,-39.4,-57.0,-0.9980
IO2004-P-4500                 ,,,,0,0,39,0.0,729.8,698.6,755.6,-25.8,-57.0,-0.9970
IO2004-P-4550                 ,,,,0,0,33,0.0,748.8,748.6,805.6,-56.8,-57.0,-0.9970
IO2004-P-4600                 ,822.6,822.6,813.8,4,32.734,39,4.0,814.4,798.8,855.8,-41.4,-57.0,-0.9960
IO2004-P-4650                 ,870.2,870.2,852.6,9,78.24,101,5.0,852.6,848.8,905.8,-53.2,-57.0,-0.9940
IO2005-C-3150                 ,,,,0,0,18,0.0,584.4,635.4,575.6,8.8,59.8,0.9520
IO2005-C-3200                 ,568.8,568.8,568.8,1,5.688,17,0.0,568.8,586.2,526.8,42.0,59.4,0.9460
IO2005-C-3250                 ,,,,0,0,10,0.0,520,537.2,477.4,42.6,59.8,0.9380
IO2005-C-3300                 ,460.6,460.6,460.6,1,4.606,15,0.0,460.6,481.6,429.2,31.4,52.4,0.9610
IO2005-C-3350                 ,404.8,417.2,404.8,8,32.438,29,-2.0,411.4,433.2,381.8,29.6,51.4,0.9480
IO2005-C-3400                 ,362.6,382.6,362.6,7,26.176,41,1.0,382.6,393.6,335.2,47.4,58.4,0.8970
IO2005-C-3450                 ,318,343.8,318,18,56.68,55,-2.0,343.8,343.8,290.2,53.6,53.6,0.8860
IO2005-C-3500                 ,270,299,263.6,56,154.266,129,-20.0,299,299.8,250,49.0,49.8,0.8520
IO2005-C-3550                 ,222,252,220,117,266.812,133,-18.0,252,257.4,207.6,44.4,49.8,0.8100
IO2005-C-3600                 ,179,215.4,179,694,1323.938,454,184.0,215.4,216.2,169.4,46.0,46.8,0.7620
IO2005-C-3650                 ,149,176,145.4,69,106.364,303,-4.0,176,176,134.2,41.8,41.8,0.7060
IO2005-C-3700                 ,113.2,140.4,110.8,762,907.632,662,132.0,140.4,140.4,106.2,34.2,34.2,0.6370
IO2005-C-3750                 ,86.2,109.2,84,565,532.054,483,49.0,109.2,109.2,80.2,29.0,29.0,0.5580
IO2005-C-3800                 ,61.6,82,61.6,1052,735.008,1270,60.0,81.6,81.6,59.2,22.4,22.4,0.4730
IO2005-C-3850                 ,51,61.6,45,485,249.752,466,120.0,61.6,61.6,43.6,18.0,18.0,0.3900
IO2005-C-3900                 ,32,44.2,31.2,456,165.426,619,54.0,44,44,30.6,13.4,13.4,0.3100
IO2005-C-3950                 ,22.8,31,22,163,40.976,344,54.0,31,31,22.4,8.6,8.6,0.2390
IO2005-C-4000                 ,19,21.8,15.6,774,137.17,1664,99.0,21.8,21.8,15.8,6.0,6.0,0.1800
IO2005-C-4050                 ,12.4,14.8,10,239,27.12,579,105.0,14.8,14.8,11,3.8,3.8,0.1320
IO2005-C-4100                 ,8.4,9.8,7.2,223,18.736,508,17.0,9.8,9.8,7.8,2.0,2.0,0.0940
IO2005-C-4150                 ,5.4,6.4,5,72,4.012,221,-17.0,6.4,6.4,5.4,1.0,1.0,0.0660
IO2005-C-4200                 ,4,4.6,3.6,180,7.512,535,-10.0,4.6,4.6,4,0.6,0.6,0.0480
IO2005-C-4250                 ,2.8,3.4,2.6,145,4.378,187,-62.0,3.4,3.4,2.8,0.6,0.6,0.0360
