合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,隐含波动率(%),Delta
IC1612                        ,6540.2,6592.2,6533,7066,927350.816,22892,-864.0,6572,6564.2,6537.2,34.8,27.0,--,--
IC1701                        ,6460.8,6501,6450.8,612,79229.388,1551,315.0,6486.4,6471.6,6452.8,33.6,18.8,--,--
IC1703                        ,6298.8,6338.4,6289,570,71947.868,6375,7.0,6316,6303.4,6292.6,23.4,10.8,--,--
IC1706                        ,6088,6129,6088,277,33809.84,2675,38.0,6111.6,6099.4,6086,25.6,13.4,--,--
小计,,,,8525,1112337.912,33493.0,-504.0,,,,,,
IF1612                        ,3542.8,3583,3541.8,11232,1200409.956,32099,-439.0,3568.4,3559.6,3535.6,32.8,24.0,--,--
IF1701                        ,3520.6,3563,3520.6,878,93309.492,2317,401.0,3550,3539.2,3513.8,36.2,25.4,--,--
IF1703                        ,3490.2,3531.6,3490.2,917,96556.428,4575,162.0,3518.6,3506.8,3480,38.6,26.8,--,--
IF1706                        ,3442.2,3483.8,3441,288,29928.87,1125,27.0,3472.6,3466.8,3433,39.6,33.8,--,--
小计,,,,13315,1420204.746,40116.0,151.0,,,,,,
IH1612                        ,2424.8,2452,2417,5127,374517.348,19843,-284.0,2434.2,2428,2421.2,13.0,6.8,--,--
IH1701                        ,2419.8,2443.8,2408,503,36601.512,2078,277.0,2425.2,2418,2410.6,14.6,7.4,--,--
IH1703                        ,2395.2,2424,2387,414,29897.13,3100,78.0,2403.4,2397,2393,10.4,4.0,--,--
IH1706                        ,2375.8,2396.8,2366.6,194,13849.254,713,100.0,2377.2,2372.4,2366.6,10.6,5.8,--,--
小计,,,,6238,454865.244,25734.0,171.0,,,,,,
T1612                         ,,,,0,0,372,-33.0,100.02,99.4,100.02,0.00,-0.62,--,--
T1703                         ,98.605,98.725,98.115,47292,4651493.89,53620,312.0,98.185,98.195,98.815,-0.630,-0.620,--,--
T1706                         ,97.955,97.955,97.27,2572,250967.735,7893,650.0,97.33,97.345,97.965,-0.635,-0.620,--,--
小计,,,,49864,4902461.625,61885.0,929.0,,,,,,
TF1612                        ,100.9,101.385,100.9,161,16246.89,700,-122.0,100.92,100.92,100.71,0.21,0.21,--,--
TF1703                        ,100.09,100.09,99.72,14597,1458232.78,21647,1498.0,99.785,99.78,100.13,-0.345,-0.35,--,--
TF1706                        ,99.65,99.65,99.22,358,35593.3,2889,77.0,99.325,99.29,99.685,-0.360,-0.395,--,--
小计,,,,15116,1510072.97,25236.0,1453.0,,,,,,
合计,,,,93058,9399942.497,186464.0,2200.0,,,,,,
