合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta
IC2105                        ,6458,6491,6402,58223,7511470.108,76667,7447.0,6477.6,6463.6,6468,9.6,-4.4,--
IC2106                        ,6393.8,6431.8,6350,22051,2818726.692,87882,1738.0,6417.2,6403.8,6407.8,9.4,-4.0,--
IC2109                        ,6233.2,6273.2,6196,9367,1168365.836,69296,49.0,6265.8,6247.6,6250,15.8,-2.4,--
IC2112                        ,6097.8,6134,6051.4,4428,539606.128,13935,1497.0,6129,6111.4,6105,24.0,6.4,--
小计,,,,94069,12038168.764,247780.0,10731.0,,,,,,
IF2105                        ,5145,5157.6,5072,93867,14416031.58,88632,-553.0,5106.8,5109.8,5151.8,-45.0,-42.0,--
IF2106                        ,5105,5119.8,5036,29072,4433053.98,83793,-1120.0,5073.4,5073.2,5112.8,-39.4,-39.6,--
IF2109                        ,5003,5020.8,4939.2,10519,1571335.506,38501,2025.0,4971,4972.6,5011.2,-40.2,-38.6,--
IF2112                        ,4953,4971,4892.8,1456,215724.426,4678,506.0,4926.4,4926.4,4964,-37.6,-37.6,--
小计,,,,134914,20636145.492,215604.0,858.0,,,,,,
IH2105                        ,3508.8,3521.4,3457.6,36600,3836376.948,39471,2158.0,3482.6,3485,3509,-26.4,-24.0,--
IH2106                        ,3469.8,3489,3427,11755,1221472.488,31191,-536.0,3453.2,3456.4,3475.2,-22.0,-18.8,--
IH2109                        ,3406.4,3419.6,3361,3198,325933.62,10291,312.0,3385.2,3388.2,3407.6,-22.4,-19.4,--
IH2112                        ,3373.8,3393.4,3330,404,40798.35,1061,73.0,3360.2,3358.6,3372.6,-12.4,-14.0,--
小计,,,,51957,5424581.406,82014.0,2007.0,,,,,,
IO2105-C-4400                 ,696.6,701,696.6,15,106.568,33,0.0,701,712.4,757.4,-56.4,-45.0,0.9760
IO2105-C-4450                 ,649.8,649.8,649.8,3,19.494,44,0.0,649.8,662.8,701.6,-51.8,-38.8,0.9730
IO2105-C-4500                 ,601.4,601.4,600.8,17,105.238,45,0.0,600.8,614,652,-51.2,-38.0,0.9660
IO2105-C-4550                 ,551.6,551.6,549.4,20,110.674,46,-1.0,550.4,565,608.6,-58.2,-43.6,0.9580
