bucket,start_day,end_day,count,percentage
1-10,1,10,211,22.7371
11-20,11,20,255,27.4784
21-30,21,30,180,19.3966
31-40,31,40,86,9.2672
41-50,41,50,49,5.2802
51-60,51,60,41,4.4181
61-70,61,70,44,4.7414
71-80,71,80,22,2.3707
81-90,81,90,13,1.4009
91-100,91,100,7,0.7543
101-110,101,110,5,0.5388
111-120,111,120,8,0.8621
no_breach_yet,,,7,0.7543
