合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta
IC2009                        ,6499.8,6664.8,6456.4,126199,16546021.296,135011,6285.0,6660,6639.6,6485.2,174.8,154.4,--
IC2010                        ,6419,6588.8,6375.8,2770,359687.104,3604,1210.0,6585.4,6566.8,6407.6,177.8,159.2,--
IC2012                        ,6269.6,6443,6235.8,22755,2882963.776,57084,2234.0,6441,6416.8,6265,176.0,151.8,--
IC2103                        ,6097.4,6255.4,6043,5737,704629.02,20938,9.0,6255.4,6224.8,6071.6,183.8,153.2,--
小计,,,,157461,20493301.196,216637.0,9738.0,,,,,,
IF2009                        ,4707.8,4848.8,4693.2,132054,18886970.4,140247,13096.0,4843.6,4828.6,4696.6,147.0,132.0,--
IF2010                        ,4680.8,4825,4670.6,3949,562510.44,4380,2010.0,4820.6,4803.2,4671.8,148.8,131.4,--
IF2012                        ,4637.6,4782.6,4623.8,19705,2779119.696,44042,4227.0,4776.8,4760,4628.6,148.2,131.4,--
IF2103                        ,4592.4,4739.8,4576.2,3334,466393.188,6674,561.0,4731.8,4719.4,4578.6,153.2,140.8,--
小计,,,,159042,22694993.724,195343.0,19894.0,,,,,,
IH2009                        ,3286,3374.2,3275,48794,4864910.646,50098,3867.0,3372,3361.4,3275.8,96.2,85.6,--
IH2010                        ,3280.2,3368,3269,1858,185382.252,2005,1297.0,3364.8,3354.8,3267,97.8,87.8,--
IH2012                        ,3271,3352.4,3256.2,10147,1006652.862,21734,751.0,3350.8,3340,3254.6,96.2,85.4,--
IH2103                        ,3257.4,3337.2,3244.4,1634,161045.016,4176,586.0,3336.2,3325.4,3241.4,94.8,84.0,--
小计,,,,62433,6217990.776,78013.0,6501.0,,,,,,
IO2009-C-3100                 ,1662,1739.8,1662,15,251.856,131,-10.0,1734.6,1737,1611.6,123.0,125.4,0.9760
IO2009-C-3200                 ,,,,0,0,81,0.0,1532,1626.8,1511.8,20.2,115.0,0.9970
IO2009-C-3300                 ,1423.2,1531.8,1423.2,2,29.55,121,0.0,1531.8,1527,1412,119.8,115.0,0.9970
IO2009-C-3400                 ,,,,0,0,69,0.0,1324.8,1427,1312.2,12.6,114.8,0.9970
IO2009-C-3500                 ,,,,0,0,71,0.0,1230,1327.2,1212.6,17.4,114.6,0.9970
IO2009-C-3600                 ,,,,0,0,95,0.0,1134.6,1227.4,1112.8,21.8,114.6,0.9960
IO2009-C-3650                 ,1160.6,1160.6,1160.6,10,111.18,37,0.0,1160.6,1177.4,1063,97.6,114.4,0.9960
IO2009-C-3700                 ,1023.6,1140.4,1019.2,88,929.49,171,-19.0,1140.4,1127.6,1013.2,127.2,114.4,0.9960
IO2009-C-3750                 ,,,,0,0,53,0.0,977.8,1077.6,963.4,14.4,114.2,0.9950
IO2009-C-3800                 ,958,1046.4,956,12,122.396,190,6.0,1046.4,1027.8,913.6,132.8,114.2,0.9950
IO2009-C-3850                 ,,,,0,0,36,0.0,851.8,992.6,846.2,5.6,146.4,0.9490
IO2009-C-3900                 ,827,938.8,827,42,380.89,127,-5.0,938.8,943.4,796.6,142.2,146.8,0.9450
IO2009-C-3950                 ,881,881,881,3,26.43,36,-3.0,881,894,763.8,117.2,130.2,0.9420
IO2009-C-4000                 ,734,844.2,734,6,46.85,146,0.0,838.8,844.2,714.4,124.4,129.8,0.9380
IO2009-C-4050                 ,772,772,772,5,38.6,74,0.0,772,794.6,665.6,106.4,129.0,0.9350
IO2009-C-4100                 ,634.8,745.6,631.2,16,105.34,120,2.0,739.8,729.6,616.4,123.4,113.2,0.9840
IO2009-C-4150                 ,682,695.6,682,8,54.784,84,0.0,683,680.2,567.2,115.8,113.0,0.9800
IO2009-C-4200                 ,530.4,639,530.4,16,95.66,208,-7.0,638,645.6,518.8,119.2,126.8,0.9210
IO2009-C-4250                 ,593,593,593,5,29.65,75,-5.0,593,582.4,472,121.0,110.4,0.9660
IO2009-C-4300                 ,422.2,547.8,422.2,140,673.828,372,-52.0,545,534,423.2,121.8,110.8,0.9550
IO2009-C-4350                 ,374.2,500.2,373.6,58,238.526,176,-7.0,500.2,500.4,379,121.2,121.4,0.8920
IO2009-C-4400                 ,329.2,459,323.6,190,721.846,329,-17.0,452,452.4,336.2,115.8,116.2,0.8780
