合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,Delta
IC2009                        ,6449.8,6521,6402.2,108180,13973462.624,124193,-2526.0,6491,6493,6446.8,44.2,46.2,--
IC2010                        ,6354.8,6439.8,6324.6,6560,837447.792,10041,2055.0,6410.4,6413.4,6371.8,38.6,41.6,--
IC2012                        ,6230,6296.4,6182.6,19363,2415647.544,60431,-703.0,6264.2,6268.8,6224.2,40.0,44.6,--
IC2103                        ,6035.8,6105.4,5989.6,6010,726861.776,26509,-6.0,6069.2,6073.6,6029.8,39.4,43.8,--
小计,,,,140113,17953419.736,221174.0,-1180.0,,,,,,
IF2009                        ,4668.8,4698.8,4635.2,108113,15139179.648,114804,-8788.0,4680.8,4683.6,4668.8,12.0,14.8,--
IF2010                        ,4644,4673.6,4610,6059,843585.87,11018,1021.0,4657.2,4658.8,4641.2,16.0,17.6,--
IF2012                        ,4590,4624,4559,17586,2422825.806,51911,515.0,4605.2,4608.4,4591.4,13.8,17.0,--
IF2103                        ,4548,4575.4,4512.4,2420,329785.554,8340,-37.0,4553.4,4558.4,4543.6,9.8,14.8,--
小计,,,,134178,18735376.878,186073.0,-7289.0,,,,,,
IH2009                        ,3250.8,3289,3241.4,38048,3726583.854,41833,-2504.0,3280.2,3280.4,3253,27.2,27.4,--
IH2010                        ,3245,3279.4,3233.2,2125,207538.752,3497,-2.0,3270,3271.4,3247.4,22.6,24.0,--
IH2012                        ,3229.6,3258,3212.6,7519,729826.95,24370,101.0,3248.2,3249.6,3224.8,23.4,24.8,--
IH2103                        ,3199.8,3239.6,3194.4,1319,127296.474,4714,-220.0,3230,3230.6,3209.6,20.4,21.0,--
小计,,,,49011,4791246.030,74414.0,-2625.0,,,,,,
IO2009-C-3100                 ,1570,1570,1553.8,2,31.238,133,-1.0,1553.8,1583,1568,-14.2,15.0,0.9970
IO2009-C-3200                 ,,,,0,0,78,0.0,1548,1482.8,1468.2,79.8,14.6,0.9990
IO2009-C-3300                 ,1359.6,1359.6,1348.8,2,27.084,121,0.0,1348.8,1383,1368.2,-19.4,14.8,0.9980
IO2009-C-3400                 ,1269.8,1269.8,1269.8,1,12.698,64,-1.0,1269.8,1283,1268.2,1.6,14.8,0.9980
IO2009-C-3500                 ,,,,0,0,68,0.0,1249,1183,1168.4,80.6,14.6,0.9970
IO2009-C-3600                 ,1061.8,1071.8,1061.8,13,138.7,97,5.0,1071.8,1083.2,1068.4,3.4,14.8,0.9970
IO2009-C-3650                 ,1008.8,1008.8,1008.8,1,10.088,36,-1.0,1008.8,1033,1018.6,-9.8,14.4,0.9980
IO2009-C-3700                 ,954.6,994.2,954.6,12,117.432,163,3.0,986.2,983.2,968.6,17.6,14.6,0.9970
