合约代码,今开盘,最高价,最低价,成交量,成交金额,持仓量,持仓变化,今收盘,今结算,前结算,涨跌1,涨跌2,隐含波动率(%),Delta
IC1711                        ,6440,6463,6320,11202,1432596.964,18125,513.0,6362,6353.6,6426,-64.0,-72.4,--,--
IC1712                        ,6392.6,6423.8,6284.6,1759,223401.36,8868,62.0,6321.6,6314.4,6390.2,-68.6,-75.8,--,--
IC1803                        ,6319.6,6349.4,6210.2,397,49794.364,2637,117.0,6230,6230.4,6317,-87.0,-86.6,--,--
IC1806                        ,6280,6280,6154,197,24476.46,621,72.0,6183.8,6175.2,6258.4,-74.6,-83.2,--,--
小计,,,,13555,1730269.148,30251.0,764.0,,,,,,
IF1711                        ,3985.4,3996,3943,13262,1579375.98,22627,425.0,3963.4,3956.8,3977.6,-14.2,-20.8,--,--
IF1712                        ,3980,3990.4,3936.8,2629,312350.304,15575,346.0,3955.2,3947.8,3970.2,-15.0,-22.4,--,--
IF1803                        ,3976.8,3985.2,3935,641,76096.35,4215,-24.0,3945.2,3946,3964.2,-19.0,-18.2,--,--
IF1806                        ,3972,3979.4,3931,167,19822.836,574,30.0,3948,3942.6,3960.8,-12.8,-18.2,--,--
小计,,,,16699,1987645.470,42991.0,777.0,,,,,,
IH1711                        ,2797,2801,2775.8,8432,705351.408,14243,663.0,2795,2789,2793.6,1.4,-4.6,--,--
IH1712                        ,2801,2805.4,2780,1559,130598.31,7467,-153.0,2801.4,2793,2799.4,2.0,-6.4,--,--
IH1803                        ,2818.8,2822,2800,288,24286.308,2404,32.0,2818.8,2811.8,2815,3.8,-3.2,--,--
IH1806                        ,2823.8,2836,2808.4,90,7612.188,292,19.0,2836,2818.8,2824.2,11.8,-5.4,--,--
小计,,,,10369,867848.214,24406.0,561.0,,,,,,
T1712                         ,92.805,92.985,92.645,45611,4233503.925,49004,-3392.0,92.905,92.885,92.85,0.055,0.035,--,--
T1803                         ,92.8,92.9,92.53,14449,1339387.5,22504,3474.0,92.76,92.725,92.83,-0.07,-0.105,--,--
T1806                         ,92.925,92.995,92.705,94,8725.54,354,33.0,92.825,92.81,92.92,-0.095,-0.11,--,--
小计,,,,60154,5581616.965,71862.0,115.0,,,,,,
TF1712                        ,96.08,96.155,95.95,16282,1563769.08,46267,-3010.0,96.105,96.065,96.105,0.000,-0.040,--,--
TF1803                        ,96.35,96.38,96.16,6124,589415.025,16238,2544.0,96.31,96.265,96.36,-0.05,-0.095,--,--
TF1806                        ,,,,0,0,3,0.0,96.165,96.69,96.73,-0.565,-0.04,--,--
小计,,,,22406,2153184.105,62508.0,-466.0,,,,,,
合计,,,,123183,12320563.902,232018.0,1751.0,,,,,,
